HCPCS Code,Description,Trade Name(s),Payments,% of drug pmts,Cum. % of drug pmts,Unique Beneficiaries
J0886,Epoetin alfa 1000 units ESRD,,"$28,294 ",0.00%,99.99%,32
J7335,Capsaicin 8% patch,,"$28,000 ",0.00%,99.99%,23
J0800,Corticotropin injection,,"$27,100 ",0.00%,99.99%,197
J1956,Levofloxacin injection,,"$26,832 ",0.00%,99.99%,1386
J0558,PenG benzathine/procaine inj,,"$26,606 ",0.00%,99.99%,1126
J1380,Estradiol valerate 10 MG inj,,"$25,495 ",0.00%,99.99%,714
J3120,Testosterone enanthate inj,,"$24,581 ",0.00%,99.99%,831
J2400,Chloroprocaine hcl injection,,"$23,646 ",0.00%,99.99%,742
J9179,Eribulin mesylate injection,,"$23,360 ",0.00%,99.99%,11
J1110,Inj dihydroergotamine mesylt,,"$22,333 ",0.00%,99.99%,560
J2271,Morphine so4 injection 100mg,,"$21,896 ",0.00%,99.99%,283
J0694,Cefoxitin sodium injection,,"$20,586 ",0.00%,99.99%,2030
J9268,Pentostatin injection,,"$20,104 ",0.00%,99.99%,11
J0130,Abciximab injection,,"$19,915 ",0.00%,99.99%,116
J0698,Cefotaxime sodium injection,,"$19,011 ",0.00%,99.99%,10321
J9185,Fludarabine phosphate inj,,"$17,296 ",0.00%,99.99%,44
J9209,Mesna injection,,"$17,064 ",0.00%,99.99%,54
J2270,Morphine sulfate injection,,"$16,623 ",0.00%,99.99%,3414
J3070,Pentazocine injection,,"$16,505 ",0.00%,99.99%,392
J0500,Dicyclomine injection,,"$15,731 ",0.00%,99.99%,366
J3260,Tobramycin sulfate injection,,"$15,702 ",0.00%,99.99%,6076
J1190,Dexrazoxane HCl injection,,"$15,694 ",0.00%,99.99%,45
J2510,Penicillin g procaine inj,,"$14,618 ",0.00%,99.99%,944
J3250,Trimethobenzamide hcl inj,,"$14,549 ",0.00%,99.99%,1272
J0945,Brompheniramine maleate inj,,"$13,763 ",0.00%,100.00%,11569
J1260,Dolasetron mesylate,,"$13,484 ",0.00%,100.00%,460
J0895,Deferoxamine mesylate inj,,"$12,369 ",0.00%,100.00%,73
J3472,"Ovine, 1000 USP units",,"$11,696 ",0.00%,100.00%,52
J2260,Inj milrinone lactate / 5 MG,,"$10,605 ",0.00%,100.00%,31
J0470,Dimecaprol injection,,"$10,340 ",0.00%,100.00%,75
J9370,Vincristine sulfate 1 MG inj,,"$10,228 ",0.00%,100.00%,770
J2310,Inj naloxone hydrochloride,,"$9,803 ",0.00%,100.00%,596
J1460,Gamma globulin 1 CC inj,,"$9,605 ",0.00%,100.00%,61
J0770,Colistimethate sodium inj,,"$9,369 ",0.00%,100.00%,191
J7110,Dextran 75 infusion,,"$8,481 ",0.00%,100.00%,129
J0290,Ampicillin 500 MG inj,,"$8,195 ",0.00%,100.00%,3680
J1051,Medroxyprogesterone inj,,"$7,920 ",0.00%,100.00%,233
J2690,Procainamide hcl injection,,"$7,568 ",0.00%,100.00%,401
J7070,D5w infusion,,"$7,426 ",0.00%,100.00%,1995
J0697,Sterile cefuroxime injection,,"$6,128 ",0.00%,100.00%,2157
J0180,Agalsidase beta injection,,"$5,376 ",0.00%,100.00%,31
J7626,Budesonide non-comp unit,,"$5,202 ",0.00%,100.00%,1060
J2020,Linezolid injection,,"$5,126 ",0.00%,100.00%,172
J0456,Azithromycin,,"$4,764 ",0.00%,100.00%,443
J2545,Pentamidine non-comp unit,,"$4,755 ",0.00%,100.00%,79
J0287,Amphotericin b lipid complex,,"$4,308 ",0.00%,100.00%,289
J1450,Fluconazole,,"$4,302 ",0.00%,100.00%,251
J2850,Inj secretin synthetic human,,"$4,160 ",0.00%,100.00%,13
J1600,Gold sodium thiomaleate inj,,"$4,029 ",0.00%,100.00%,41
J2150,Mannitol injection,,"$3,969 ",0.00%,100.00%,944
J9040,Bleomycin sulfate injection,,"$3,804 ",0.00%,100.00%,47
J0295,Ampicillin sodium per 1.5 gm,,"$3,345 ",0.00%,100.00%,494
J2280,"Inj, moxifloxacin 100 mg",,"$3,014 ",0.00%,100.00%,47
J0150,Injection adenosine 6 MG,,"$2,885 ",0.00%,100.00%,308
J0780,Prochlorperazine injection,,"$2,621 ",0.00%,100.00%,977
J1094,Inj dexamethasone acetate,,"$2,481 ",0.00%,100.00%,11219
J2730,Pralidoxime chloride inj,,"$2,380 ",0.00%,100.00%,11
J7605,Arformoterol non-comp unit,,"$2,351 ",0.00%,100.00%,430
J3410,Hydroxyzine hcl injection,,"$2,244 ",0.00%,100.00%,5645
J1980,Hyoscyamine sulfate inj,,"$1,948 ",0.00%,100.00%,46
J1457,Gallium nitrate injection,,"$1,759 ",0.00%,100.00%,129
J3430,Vitamin k phytonadione inj,,"$1,586 ",0.00%,100.00%,229
J0833,Cosyntropin injection NOS,,"$1,581 ",0.00%,100.00%,27
J1364,Erythro lactobionate /500 MG,,"$1,536 ",0.00%,100.00%,129
J9178,"Inj, epirubicin hcl, 2 mg",,"$1,200 ",0.00%,100.00%,12
J1230,Methadone injection,,"$1,080 ",0.00%,100.00%,81
J0288,Ampho b cholesteryl sulfate,,$957 ,0.00%,100.00%,54
J1245,Dipyridamole injection,,$946 ,0.00%,100.00%,128009
J0360,Hydralazine hcl injection,,$894 ,0.00%,100.00%,293
J0720,Chloramphenicol sodium injec,,$820 ,0.00%,100.00%,50
J1060,Testosterone cypionate 1 ML,,$808 ,0.00%,100.00%,102
J2675,Inj progesterone per 50 MG,,$791 ,0.00%,100.00%,160
J3105,Terbutaline sulfate inj,,$773 ,0.00%,100.00%,136
J2780,Ranitidine hydrochloride inj,,$744 ,0.00%,100.00%,31960
J7608,Acetylcysteine non-comp unit,,$724 ,0.00%,100.00%,352
J3230,Chlorpromazine hcl injection,,$617 ,0.00%,100.00%,31
J2560,Phenobarbital sodium inj,,$513 ,0.00%,100.00%,12
J0476,Baclofen intrathecal trial,,$506 ,0.00%,100.00%,11
J1800,Propranolol injection,,$480 ,0.00%,100.00%,160
J2180,Meperidine/promethazine inj,,$437 ,0.00%,100.00%,41
J0760,Colchicine injection,,$435 ,0.00%,100.00%,17
J7606,"Formoterol fumarate, inh",,$417 ,0.00%,100.00%,108
J9230,Mechlorethamine hcl inj,,$396 ,0.00%,100.00%,29
J1790,Droperidol injection,,$288 ,0.00%,100.00%,117
J7636,Atropine comp unit,,$270 ,0.00%,100.00%,27
J2810,Inj theophylline per 40 MG,,$238 ,0.00%,100.00%,17
J1640,"Hemin, 1 mg",,$224 ,0.00%,100.00%,13
J3465,"Injection, voriconazole",,$200 ,0.00%,100.00%,11
J1955,Inj levocarnitine per 1 gm,,$192 ,0.00%,100.00%,18
J1240,Dimenhydrinate injection,,$183 ,0.00%,100.00%,45
J0795,Corticorelin ovine triflutal,,$180 ,0.00%,100.00%,38
J2440,Papaverin hcl injection,,$176 ,0.00%,100.00%,394
J3000,Streptomycin injection,,$176 ,0.00%,100.00%,13
J3486,Ziprasidone mesylate,,$132 ,0.00%,100.00%,11
J0900,Testosterone enanthate inj,,$129 ,0.00%,100.00%,38
J3360,Diazepam injection,,$106 ,0.00%,100.00%,5775
J2700,Oxacillin sodium injeciton,,$81 ,0.00%,100.00%,20
J0715,Ceftizoxime sodium / 500 MG,,$62 ,0.00%,100.00%,28
J7030,Normal saline solution infus,,$57 ,0.00%,100.00%,92437
J1630,Haloperidol injection,,$47 ,0.00%,100.00%,44
J3265,Injection torsemide 10 mg/ml,,$46 ,0.00%,100.00%,11
J2501,Paricalcitol,,$26 ,0.00%,100.00%,20
J2410,Oxymorphone hcl injection,,$23 ,0.00%,100.00%,14
J2060,Lorazepam injection,,$21 ,0.00%,100.00%,10651
J3095,Telavancin injection,,$17 ,0.00%,100.00%,17
J1160,Digoxin injection,,$16 ,0.00%,100.00%,16
J7644,Ipratropium bromide non-comp,,$0 ,0.00%,100.00%,10143
J3475,Inj magnesium sulfate,,$0 ,0.00%,100.00%,25303
J3140,Testosterone suspension inj,,$0 ,0.00%,100.00%,80
J7669,Metaproterenol non-comp unit,,$0 ,0.00%,100.00%,25
J7620,Albuterol ipratrop non-comp,,$0 ,0.00%,100.00%,22120
J3302,Triamcinolone diacetate inj,,$0 ,0.00%,100.00%,35622
J9250,Methotrexate sodium inj,,$0 ,0.00%,100.00%,5691
J0636,Inj calcitriol per 0.1 mcg,,$0 ,0.00%,100.00%,292
J7668,Metaproterenol non-comp con,,$0 ,0.00%,100.00%,15
J0878,Daptomycin injection,,$0 ,0.00%,100.00%,7686
J7631,Cromolyn sodium noncomp unit,,$0 ,0.00%,100.00%,12
J0171,Adrenalin epinephrine inject,,$0 ,0.00%,100.00%,2229
J7131,Hypertonic saline sol,,$0 ,0.00%,100.00%,56
J0278,Amikacin sulfate injection,,$0 ,0.00%,100.00%,526
J1642,Inj heparin sodium per 10 u,,$0 ,0.00%,100.00%,30490
J3150,Testosteron propionate inj,,$0 ,0.00%,100.00%,69
J3473,Hyaluronidase recombinant,,$0 ,0.00%,100.00%,20
J2250,Inj midazolam hydrochloride,,$0 ,0.00%,100.00%,97107
J1756,Iron sucrose injection,,$0 ,0.00%,100.00%,28462
J1940,Furosemide injection,,$0 ,0.00%,100.00%,13856
J2795,Ropivacaine HCl injection,,$0 ,0.00%,100.00%,4541
J7674,"Methacholine chloride, neb",,$0 ,0.00%,100.00%,1604
J0131,Acetaminophen injection,,$0 ,0.00%,100.00%,208
J1100,Dexamethasone sodium phos,,$0 ,0.00%,100.00%,1020630
J2650,Prednisolone acetate inj,,$0 ,0.00%,100.00%,17
J0690,Cefazolin sodium injection,,$0 ,0.00%,100.00%,30544
J7613,Albuterol non-comp unit,,$0 ,0.00%,100.00%,33414
J1626,Granisetron hcl injection,,$0 ,0.00%,100.00%,49843
J7509,Methylprednisolone oral,,$0 ,0.00%,100.00%,18
J7614,Levalbuterol non-comp unit,,$0 ,0.00%,100.00%,7046
J2001,Lidocaine injection,,$0 ,0.00%,100.00%,34226
J0461,Atropine sulfate injection,,$0 ,0.00%,100.00%,6446
J0592,Buprenorphine hydrochloride,,$0 ,0.00%,100.00%,1194
J2590,Oxytocin injection,,$0 ,0.00%,100.00%,13
J0712,Ceftaroline fosamil inj,,$0 ,0.00%,100.00%,18
J7060,5% dextrose/water,,$0 ,0.00%,100.00%,13338
J3420,Vitamin b12 injection,,$0 ,0.00%,100.00%,551722
J7611,Albuterol non-comp con,,$0 ,0.00%,100.00%,12387
J0595,Butorphanol tartrate 1 mg,,$0 ,0.00%,100.00%,152
J7506,Prednisone oral,,$0 ,0.00%,100.00%,148
J2540,Penicillin g potassium inj,,$0 ,0.00%,100.00%,12
J3480,Inj potassium chloride,,$0 ,0.00%,100.00%,13396
J9181,Etoposide injection,,$0 ,0.00%,100.00%,5513
J1885,Ketorolac tromethamine inj,,$0 ,0.00%,100.00%,281414
J3471,"Ovine, up to 999 USP units",,$0 ,0.00%,100.00%,451
J0745,Inj codeine phosphate /30 MG,,$0 ,0.00%,100.00%,17
J7042,5% dextrose/normal saline,,$0 ,0.00%,100.00%,12433
J0610,Calcium gluconate injection,,$0 ,0.00%,100.00%,5140
J0744,Ciprofloxacin iv,,$0 ,0.00%,100.00%,237
J7120,Ringers lactate infusion,,$0 ,0.00%,100.00%,12039
J2765,Metoclopramide hcl injection,,$0 ,0.00%,100.00%,1704
J0280,Aminophyllin 250 MG inj,,$0 ,0.00%,100.00%,113370
J2300,Inj nalbuphine hydrochloride,,$0 ,0.00%,100.00%,6624
J2370,Phenylephrine hcl injection,,$0 ,0.00%,100.00%,489
J7510,Prednisolone oral per 5 mg,,$0 ,0.00%,100.00%,36
J2248,Micafungin sodium injection,,$0 ,0.00%,100.00%,67
J7665,Mannitol for inhaler,,$0 ,0.00%,100.00%,17
J0696,Ceftriaxone sodium injection,,$0 ,0.00%,100.00%,511464
J7040,Normal saline solution infus,,$0 ,0.00%,100.00%,104929
J7050,Normal saline solution infus,,$0 ,0.00%,100.00%,284486
J2720,Inj protamine sulfate/10 MG,,$0 ,0.00%,100.00%,119
J7612,Levalbuterol non-comp con,,$0 ,0.00%,100.00%,2036
J9360,Vinblastine sulfate inj,,$0 ,0.00%,100.00%,14
J1265,Dopamine injection,,$0 ,0.00%,100.00%,113
J3010,Fentanyl citrate injeciton,,$0 ,0.00%,100.00%,73636
J2405,Ondansetron hcl injection,,$0 ,0.00%,100.00%,64842
J1644,Inj heparin sodium per 1000u,,$0 ,0.00%,100.00%,25444
J1200,Diphenhydramine hcl injectio,,$0 ,0.00%,100.00%,183445
,,Total,"$4,843,199,752 ",100.00%,100.00%,
